b&cell&lymphoma|b&cell non-hodgkin lymphoma
neoplasm&intracranial|malignant intracranial neoplasm
neoplasm&iris|malignant iris neoplasm
neoplasm&kidney|malignant kidney neoplasm
neoplasm&labia&majora|malignant labia majora neoplasm
neoplasm&labia&minora|malignant labia minora neoplasm
neoplasm&lacrimal&duct|malignant lacrimal duct neoplasm
neoplasm&lacrimal&gland|malignant lacrimal gland neoplasm
neoplasm&laryngeal|malignant laryngeal neoplasm
neoplasm&leptomeningeal|malignant leptomeningeal neoplasm
neoplasm&lipomatous|malignant lipomatous neoplasm
neoplasm&lip|malignant lip neoplasm
neoplasm&liver|liver angiosarcoma
neoplasm&lung&hilum|malignant lung hilum neoplasm
neoplasm&lung&pleural|malignant lung and pleural neoplasm
neoplasm&lung|malignant lung neoplasm
neoplasm&lymph&node|malignant lymph node neoplasm
neoplasm&major&salivary&gland|malignant major salivary gland neoplasm
neoplasm&male&reproductive&system|malignant male reproductive system neoplasm
neoplasm&maxillary&sinus|malignant maxillary sinus neoplasm
neoplasm&mediastinal&soft&tissue|malignant mediastinal soft tissue neoplasm
neoplasm&mediastinal|malignant mediastinal neoplasm
neoplasm&mediastinum|malignant mediastinal neoplasm
neoplasm&melanoma|melanoma
neoplasm&middle&ear|malignant middle ear neoplasm
neoplasm&minor&salivary&gland|malignant minor salivary gland neoplasm
neoplasm&mixed&breast|malignant mixed breast neoplasm
neoplasm&mixed|malignant mixed neoplasm
neoplasm&mouse&bladder|malignant mouse bladder neoplasm
neoplasm&mouse&cervical|malignant mouse cervical neoplasm
neoplasm&mouse&endocervical|malignant mouse endocervical neoplasm
neoplasm&mouse&exocervical|malignant mouse exocervical neoplasm
neoplasm&mouse&extrahepatic&bile&duct|malignant mouse extrahepatic bile duct neoplasm
neoplasm&mouse&fallopian&tube|malignant mouse fallopian tube neoplasm
neoplasm&mouse&gallbladder|malignant mouse gallbladder neoplasm
neoplasm&mouse&gastric&cardio-esophageal&junction|malignant mouse gastric cardio-esophageal junction neoplasm
neoplasm&mouse&gastric&germ&cell|malignant mouse gastric germ cell neoplasm
neoplasm&mouse&gastric|malignant mouse gastric neoplasm
neoplasm&mouse&lipomatous|malignant mouse lipomatous neoplasm
neoplasm&mouse&muscle|malignant mouse muscle neoplasm
neoplasm&mouse&pancreatic|malignant mouse pancreatic neoplasm
neoplasm&mouse&placental|malignant mouse placental neoplasm
neoplasm&mouse&skeletal&muscle|malignant mouse skeletal muscle neoplasm
neoplasm&mouse&smooth&muscle|malignant mouse smooth muscle neoplasm
neoplasm&mouse&thyroid|malignant mouse thyroid neoplasm
neoplasm&mouse&uterine&corpus&mixed|malignant mouse uterine corpus mixed neoplasm
neoplasm&mouse&uterine&corpus|malignant mouse uterine corpus neoplasm
neoplasm&mouth|malignant oral cavity neoplasm
neoplasm&mucosa|malignant buccal mucosa neoplasm
neoplasm&muscle|malignant muscle neoplasm
neoplasm&myocardial|malignant myocardial neoplasm
neoplasm&nasal&cavity|malignant nasal cavity neoplasm
neoplasm&nasopharyngeal|malignant nasopharyngeal neoplasm
neoplasm&neck|malignant neck neoplasm
neoplasm&nervous&system|malignant nervous system neoplasm
neoplasm&nipple|malignant nipple neoplasm
neoplasm&oculomotor&nerve|malignant oculomotor nerve neoplasm
neoplasm&odontogenic|malignant odontogenic neoplasm
neoplasm&oesophagus|malignant esophageal neoplasm
neoplasm&olfactory&nerve|malignant olfactory nerve neoplasm
neoplasm&oral&cavity|malignant oral cavity neoplasm
neoplasm&oral|malignant oral neoplasm
neoplasm&orbit|malignant orbit neoplasm
neoplasm&oropharyngeal|malignant oropharyngeal neoplasm
neoplasm&oropharynx|malignant oropharyngeal neoplasm
neoplasm&outer&hair&sheath&infundibulum|malignant outer hair sheath and infundibulum neoplasm
neoplasm&ovarian|malignant ovarian neoplasm
neoplasm&ovary|malignant ovarian neoplasm
neoplasm&palate|malignant palate neoplasm
neoplasm&pancreas|malignant pancreatic neoplasm
neoplasm&pancreatic|malignant pancreatic neoplasm
neoplasm&paraganglia|malignant paraganglioma
neoplasm&paranasal&sinus|malignant paranasal sinus neoplasm
neoplasm&parathyroid&gland|malignant parathyroid gland neoplasm
neoplasm&parotid&gland|malignant parotid gland neoplasm
neoplasm&penile|malignant penile neoplasm
neoplasm&pericardial|malignant pericardial neoplasm
neoplasm&pericytic|malignant pericytic neoplasm
neoplasm&peripheral&nervous&system|malignant peripheral nervous system neoplasm
neoplasm&peritoneal|malignant peritoneal neoplasm
neoplasm&pharyngeal|malignant pharyngeal neoplasm
neoplasm&pineal&region|malignant pineal region neoplasm
neoplasm&pituitary&gland|malignant pituitary gland neoplasm
neoplasm&placental|malignant placental neoplasm
neoplasm&pleural|malignant pleural neoplasm
neoplasm&postcricoid|malignant postcricoid neoplasm
neoplasm&posterior&tongue|malignant posterior tongue neoplasm
neoplasm&primary&brain|malignant primary brain neoplasm
neoplasm&prostate|malignant prostate neoplasm
neoplasm&pulmonary&artery|malignant pulmonary artery neoplasm
neoplasm&pulmonary&vein|malignant pulmonary vein neoplasm
neoplasm&pyriform&fossa|malignant pyriform fossa neoplasm
neoplasm&rectal|malignant rectal neoplasm
neoplasm&rectosigmoid|malignant rectosigmoid neoplasm
neoplasm&renal&pelvis|malignant renal pelvis neoplasm
neoplasm&reproductive&system|malignant reproductive system neoplasm
neoplasm&respiratory&tract|malignant respiratory tract neoplasm
neoplasm&retinal|malignant retinal neoplasm
neoplasm&retina|malignant retinal neoplasm
neoplasm&retroperitoneal|malignant retroperitoneal neoplasm
neoplasm&salivary&gland|malignant salivary gland neoplasm
neoplasm&scrotal|malignant scrotal neoplasm
neoplasm&sebaceous|malignant sebaceous neoplasm
neoplasm&skeletal&muscle|malignant skeletal muscle neoplasm
neoplasm&skin&appendage|malignant skin appendage neoplasm
neoplasm&skin|malignant skin neoplasm
neoplasm&skull&base|malignant skull base neoplasm
neoplasm&skull|malignant skull neoplasm
neoplasm&small&intestinal|malignant small intestinal neoplasm
neoplasm&smooth&muscle|malignant smooth muscle neoplasm
neoplasm&soft&palate|malignant soft palate neoplasm
neoplasm&soft&tissue|malignant soft tissue neoplasm
neoplasm&solid|malignant solid neoplasm
neoplasm&spermatic&cord|malignant spermatic cord neoplasm
neoplasm&sphenoid&sinus|malignant sphenoid sinus neoplasm
neoplasm&spinal&cord|malignant spinal cord neoplasm
neoplasm&spindle&cell|malignant spindle cell neoplasm
neoplasm&splenic flexure|malignant colon neoplasm
neoplasm&splenic&soft&tissue|malignant splenic soft tissue neoplasm
neoplasm&splenic|malignant splenic neoplasm
neoplasm&squamous&cell|malignant squamous cell neoplasm
neoplasm&sternal|malignant sternal neoplasm
neoplasm&stomach|malignant gastric neoplasm
neoplasm&subglottis|malignant subglottis neoplasm
neoplasm&sublingual&gland|malignant sublingual gland neoplasm
neoplasm&submandibular&gland|malignant submandibular gland neoplasm
neoplasm&superior&sulcus|malignant superior sulcus neoplasm
neoplasm&superior&vena&cava|malignant superior vena cava neoplasm
neoplasm&supraglottis|malignant supraglottis neoplasm
neoplasm&supratentorial|malignant supratentorial neoplasm
neoplasm&sweat&gland|malignant sweat gland neoplasm
neoplasm&synovial|malignant synovial neoplasm
neoplasm&testicular|malignant testicular neoplasm
neoplasm&testis|malignant testicular neoplasm
neoplasm&thalamic|malignant thalamic neoplasm
neoplasm&thoracic|malignant thoracic neoplasm
neoplasm&thymus|malignant thymus neoplasm
neoplasm&thyroid&gland|malignant thyroid gland neoplasm
neoplasm&tissue|malignant soft tissue neoplasm
neoplasm&tongue|malignant tongue neoplasm
neoplasm&tonsillar|malignant tonsillar neoplasm
neoplasm&tonsil|malignant tonsillar neoplasm
neoplasm&tracheal|malignant tracheal neoplasm
neoplasm&ureter|malignant ureter neoplasm
neoplasm&urethral|malignant urethral neoplasm
neoplasm&urinary&system|malignant urinary system neoplasm
neoplasm&uterine&corpus&mixed&epithelial&mesenchymal|malignant uterine corpus mixed epithelial and mesenchymal neoplasm
neoplasm&uterine&corpus|malignant uterine corpus neoplasm
neoplasm&uterine&ligament|malignant uterine ligament neoplasm
neoplasm&uterine|malignant uterine neoplasm
neoplasm&uveal|malignant uveal neoplasm
neoplasm&uvula|malignant uvula neoplasm
neoplasm&vaginal&mixed&epithelial&mesenchymal|malignant vaginal mixed epithelial and mesenchymal neoplasm
neoplasm&vaginal|malignant vaginal neoplasm
neoplasm&vascular|malignant vascular neoplasm
neoplasm&vestibulocochlear&nerve|malignant vestibulocochlear nerve neoplasm
neoplasm&vulvar&sweat&gland|malignant vulvar sweat gland neoplasm
neoplasm&vulvar|malignant vulvar neoplasm
neoplasm&hypopharynx|Malignant Hypopharyngeal Neoplasm
neuroendocrine&tumors|metastatic digestive system neuroendocrine tumor g1
non-hodgkin&lymphoma|non-hodgkin lymphoma
skin&basal&cell&carcinoma|skin basal cell carcinoma
t&cell&lymphoma|mature t-cell and nk-cell non-hodgkin lymphoma
screening&neoplasms|cancer screening
screening&neoplasm|cancer screening
screening|disease screening
carcinoma&lip|lip squamous cell carcinoma
carcinoma&skin|skin squamous cell carcinoma
lymphoblastic&lymphoma|Lymphoblastic Lymphoma
examination|medical examination
abnormal&finding|Abnormal Finding
neoplasm&cell&lymphoid|hematopoietic and lymphoid Cell neoplasm
condition&menstrual|menstrual disorder
abnormal&findings|abnormal finding
diseases&blood|hematologic and lymphocytic disorder
